,instrument,alpha,key,text,label_raw,label_ocean
175,7FACTOR,0.82,-1,Have difficulty expressing your feelings,Extraversion,E
176,7FACTOR,0.84,-1,Have difficulty understanding abstract ideas,Intellect,O
177,7FACTOR,0.84,1,Have excellent ideas,Intellect,O
178,7FACTOR,0.82,-1,Hold back your opinions,Extraversion,E
179,7FACTOR,0.77,-1,Insult people,Agreeableness,A
180,7FACTOR,0.75,-1,Jump into things without thinking,Conscientiousness,C
181,7FACTOR,0.75,1,Like order,Conscientiousness,C
182,7FACTOR,0.82,1,Make friends easily,Extraversion,E
183,7FACTOR,0.77,1,Make people feel at ease,Agreeableness,A
184,7FACTOR,0.82,1,Never at a loss for words,Extraversion,E
185,7FACTOR,0.75,1,Pay attention to details,Conscientiousness,C
186,7FACTOR,0.77,-1,Put people under pressure,Agreeableness,A
187,7FACTOR,0.84,1,Quick to understand things,Intellect,O
188,7FACTOR,0.82,-1,Speak softly,Extraversion,E
189,7FACTOR,0.77,1,Sympathize with others' feelings,Agreeableness,A
190,7FACTOR,0.77,-1,Take advantage of others,Agreeableness,A
191,7FACTOR,0.82,1,Take charge,Extraversion,E
192,7FACTOR,0.82,1,Talk to a lot of different people at parties,Extraversion,E
193,7FACTOR,0.84,-1,Try to avoid complex people,Intellect,O
194,7FACTOR,0.75,1,Try to follow the rules,Conscientiousness,C
195,7FACTOR,0.84,-1,Will not probe deeply into a subject,Intellect,O
196,AB5C,0.75,1,Accomplish your work on time,Conscientiousness,C
197,AB5C,0.73,-1,Act at the expense of others,Morality,A
198,AB5C,0.85,1,Act comfortably with others,Friendliness,E
199,AB5C,0.85,-1,Are a very private person,Friendliness,E
200,AB5C,0.75,1,Are always busy,Assertiveness,E
201,AB5C,0.75,1,Are careful to avoid making mistakes,Conscientiousness,C
202,AB5C,0.74,1,Are concerned about others,Sympathy,A
203,AB5C,0.74,1,Are deeply moved by others' misfortunes,Sympathy,A
204,AB5C,0.77,-1,Are easily talked into doing silly things,Cautiousness,C
205,AB5C,0.85,-1,Are hard to get to know,Friendliness,E
206,AB5C,0.75,-1,Are not highly motivated to succeed,Assertiveness,E
207,AB5C,0.75,-1,Are often late to work,Conscientiousness,C
208,AB5C,0.85,1,Are open about your feelings,Friendliness,E
209,AB5C,0.83,-1,Are quiet around strangers,Gregariousness,E
210,AB5C,0.78,1,Appreciate good manners,Dutifulness,C
211,AB5C,0.75,1,Automatically take charge,Assertiveness,E
212,AB5C,0.85,-1,Avoid contacts with others,Friendliness,E
213,AB5C,0.78,1,Behave properly,Dutifulness,C
214,AB5C,0.78,1,Believe in the importance of art,Imagination,O
215,AB5C,0.74,-1,Believe people should fend for themselves,Sympathy,A
216,AB5C,0.83,-1,Bottle up your feelings,Gregariousness,E
217,AB5C,0.73,-1,Break rules,Morality,A
218,AB5C,0.75,1,Can easily push yourself forward,Assertiveness,E
219,AB5C,0.71,-1,Can't stand being alone,Introspection/Private Self-Consciousness,N
220,AB5C,0.78,1,Check over your work,Dutifulness,C
221,AB5C,0.75,1,Come up with a solution right away,Assertiveness,E
222,AB5C,0.73,-1,Comment loudly about others,Cooperation,A
223,AB5C,0.74,-1,Demand a lot from others,Sympathy,A
224,AB5C,0.81,-1,Dislike learning,Intellect,O
225,AB5C,0.78,-1,Dislike routine,Orderliness,C
226,AB5C,0.78,-1,Disregard rules,Dutifulness,C
227,AB5C,0.75,1,Do a lot in your spare time,Assertiveness,E
228,AB5C,0.77,-1,Do crazy things,Cautiousness,C
229,AB5C,0.73,-1,Do dangerous things,Cooperation,A
230,AB5C,0.78,-1,Do improper things,Dutifulness,C
231,AB5C,0.78,-1,Do not enjoy going to art museums,Imagination,O
232,AB5C,0.78,-1,Do not like art,Imagination,O
233,AB5C,0.78,-1,Do not like poetry,Imagination,O
234,AB5C,0.75,-1,Do not plan ahead,Conscientiousness,C
235,AB5C,0.78,-1,Do the opposite of what is asked,Dutifulness,C
236,AB5C,0.75,1,Do things according to a plan,Conscientiousness,C
237,AB5C,0.71,1,Do things at your own pace,Introspection/Private Self-Consciousness,N
238,AB5C,0.78,1,Do things by the book,Orderliness,C
239,AB5C,0.73,-1,Don't care about rules,Morality,A
240,AB5C,0.74,-1,Don't fall for sob stories,Sympathy,A
241,AB5C,0.83,-1,Don't like to draw attention to yourself,Gregariousness,E
242,AB5C,0.71,-1,Don't like to ponder over things,Introspection/Private Self-Consciousness,N
243,AB5C,0.71,1,Don't mind eating alone,Introspection/Private Self-Consciousness,N
244,AB5C,0.83,-1,Don't talk a lot,Gregariousness,E
245,AB5C,0.78,-1,Don't think laws apply to me,Dutifulness,C
246,AB5C,0.73,-1,Enjoy being reckless,Cooperation,A
247,AB5C,0.71,1,Enjoy contemplation,Introspection/Private Self-Consciousness,N
248,AB5C,0.73,-1,Enjoy crude jokes,Cooperation,A
249,AB5C,0.71,1,Enjoy your privacy,Introspection/Private Self-Consciousness,N
250,AB5C,0.71,1,Enjoy spending time by yourself,Introspection/Private Self-Consciousness,N
251,AB5C,0.81,1,Enjoy thinking about things,Intellect,O
252,AB5C,0.74,1,Feel sympathy for those who are worse off than yourself,Sympathy,A
253,AB5C,0.78,1,Follow a schedule,Orderliness,C
254,AB5C,0.78,1,Follow directions,Dutifulness,C
255,AB5C,0.71,1,Have a point of view all your own,Introspection/Private Self-Consciousness,N
256,AB5C,0.78,1,Have a vivid imagination,Imagination,O
257,AB5C,0.73,-1,Impose your will on others,Cooperation,A
258,AB5C,0.77,-1,Jump into things without thinking,Cautiousness,C
259,AB5C,0.83,-1,Keep in the background,Gregariousness,E
260,AB5C,0.75,1,Keep your checkbook balanced,Conscientiousness,C
261,AB5C,0.83,-1,Keep your thoughts to yourself,Gregariousness,E
262,AB5C,0.78,1,Keep yourself well-groomed,Dutifulness,C
263,AB5C,0.85,-1,Keep others at a distance,Friendliness,E
264,AB5C,0.75,1,Know what you want,Assertiveness,E
265,AB5C,0.77,-1,Laugh at the slightest provocation,Cautiousness,C
266,AB5C,0.75,-1,Leave your work undone,Conscientiousness,C
267,AB5C,0.73,1,Like harmony in your life,Morality,A
268,AB5C,0.77,-1,Like to act on a whim,Cautiousness,C
269,AB5C,0.74,1,Like to do things for others,Sympathy,A
270,AB5C,0.77,-1,Like to laugh out loud,Cautiousness,C
271,AB5C,0.75,1,Like to plan ahead,Conscientiousness,C
272,AB5C,0.74,-1,Listen to your brain rather than your heart,Sympathy,A
273,AB5C,0.73,1,Listen to your conscience,Cooperation,A
274,AB5C,0.71,1,Live in a world of your own,Introspection/Private Self-Consciousness,N
275,AB5C,0.74,-1,Look down on any weakness,Sympathy,A
276,AB5C,0.73,-1,Love a good fight,Cooperation,A
277,AB5C,0.78,-1,Make rash decisions,Dutifulness,C
278,AB5C,0.78,1,Need a creative outlet,Imagination,O
279,AB5C,0.75,-1,Need a lot of time to do things,Assertiveness,E
280,AB5C,0.75,-1,Neglect your duties,Conscientiousness,C
281,AB5C,0.77,1,Never spend more than you can afford,Cautiousness,C
282,AB5C,0.77,1,Never splurge,Cautiousness,C
283,AB5C,0.75,-1,Often forget to put things back in their proper place,Conscientiousness,C
284,AB5C,0.77,-1,Often make last-minute plans,Cautiousness,C
285,AB5C,0.73,-1,Only talk about your own interests,Morality,A
286,AB5C,0.73,-1,Overestimate your achievements,Morality,A
287,AB5C,0.78,-1,Pay no attention to your appearance,Dutifulness,C
288,AB5C,0.73,-1,Play tricks on others,Cooperation,A
289,AB5C,0.71,1,Prefer to be alone,Introspection/Private Self-Consciousness,N
290,AB5C,0.78,1,Prefer variety to routine,Imagination,O
291,AB5C,0.77,1,Purchase only practical things,Cautiousness,C
292,AB5C,0.75,-1,Put off unpleasant tasks,Conscientiousness,C
293,AB5C,0.85,1,Radiate joy,Friendliness,E
294,AB5C,0.74,1,Reassure others,Sympathy,A
295,AB5C,0.73,1,Respect authority,Morality,A
296,AB5C,0.73,1,Respect the privacy of others,Morality,A
297,AB5C,0.75,1,Return borrowed items,Conscientiousness,C
298,AB5C,0.85,-1,Reveal little about yourself,Friendliness,E
299,AB5C,0.78,-1,Say inappropriate things,Dutifulness,C
300,AB5C,0.73,-1,Scheme against others,Morality,A
301,AB5C,0.78,1,See that rules are observed,Orderliness,C
302,AB5C,0.73,-1,Seek conflict,Cooperation,A
303,AB5C,0.81,1,Show a mastery of language,Intellect,O
304,AB5C,0.71,1,Spend time reflecting on things,Introspection/Private Self-Consciousness,N
305,AB5C,0.78,1,Stick to the rules,Dutifulness,C
306,AB5C,0.75,1,Stick up for yourself,Assertiveness,E
307,AB5C,0.74,1,Take an interest in other people's lives,Sympathy,A
308,AB5C,0.78,1,Take good care of your belongings,Orderliness,C
309,AB5C,0.77,1,Take precautions,Cautiousness,C
310,AB5C,0.75,-1,Take tasks too lightly,Conscientiousness,C
311,AB5C,0.73,-1,Tell tall stories about yourself,Cooperation,A
312,AB5C,0.77,1,Tend to dislike impulsive people,Cautiousness,C
313,AB5C,0.74,-1,Tend to dislike soft-hearted people,Sympathy,A
314,AB5C,0.73,-1,Think too highly of yourself,Cooperation,A
315,AB5C,0.74,-1,Try not to think about the needy,Sympathy,A
316,AB5C,0.73,1,Try to follow the rules,Morality,A
317,AB5C,0.75,1,Try to lead others,Assertiveness,E
318,AB5C,0.81,1,Try to understand yourself,Intellect,O
319,AB5C,0.73,-1,Turn your back on others,Morality,A
320,AB5C,0.75,1,Turn plans into actions,Assertiveness,E
321,AB5C,0.81,1,Use difficult words,Intellect,O
322,AB5C,0.73,1,Value cooperation over competition,Cooperation,A
323,AB5C,0.71,1,Want to be left alone,Introspection/Private Self-Consciousness,N
324,AB5C,0.85,1,Warm up quickly to others,Friendliness,E
325,AB5C,0.78,1,Work according to a routine,Orderliness,C
326,AB5C,0.73,1,Would never cheat on your taxes,Morality,A
327,BFAS,0.89,1,Are a person whose moods go up and down easily,Neuroticism,N
328,BFAS,0.89,1,Are a person whose moods go up and down easily,Anger,N
329,BFAS,0.89,1,Are afraid of many things,Neuroticism,N
330,BFAS,0.84,1,Are afraid of many things,Anxiety,N
331,BFAS,0.89,1,Are easily discouraged,Neuroticism,N
332,BFAS,0.84,1,Are easily discouraged,Anxiety,N
333,BFAS,0.89,1,Are filled with doubts about things,Neuroticism,N
334,BFAS,0.84,1,Are filled with doubts about things,Anxiety,N
335,BFAS,0.89,-1,Are not easily annoyed,Neuroticism,N
336,BFAS,0.89,-1,Are not easily annoyed,Anger,N
337,BFAS,0.89,-1,Are not embarrassed easily,Neuroticism,N
338,BFAS,0.84,-1,Are not embarrassed easily,Anxiety,N
339,BFAS,0.84,1,Are quick to understand things,Intellectual Openness,O
340,BFAS,0.84,1,Are quick to understand things,Intellect,O
341,BFAS,0.85,1,Are the first to act,Assertiveness,E
342,BFAS,0.84,-1,Avoid difficult reading material,Intellectual Openness,O
343,BFAS,0.84,-1,Avoid philosophical discussions,Intellectual Openness,O
344,BFAS,0.84,-1,Avoid philosophical discussions,Intellect,O
345,BFAS,0.89,1,Become overwhelmed by events,Neuroticism,N
346,BFAS,0.84,1,Become overwhelmed by events,Anxiety,N
347,BFAS,0.78,1,Believe in the importance of art,Intellectual Openness,O
348,BFAS,0.89,1,Can be stirred up easily,Neuroticism,N
349,BFAS,0.89,1,Can be stirred up easily,Anger,N
350,BFAS,0.84,1,Can handle a lot of information,Intellectual Openness,O
351,BFAS,0.84,1,Can handle a lot of information,Intellect,O
352,BFAS,0.85,1,Can talk others into doing things,Assertiveness,E
353,BFAS,0.89,1,Change your mood a lot,Neuroticism,N
354,BFAS,0.89,1,Change your mood a lot,Anger,N
355,BFAS,0.85,-1,Do not have an assertive personality,Assertiveness,E
356,BFAS,0.78,-1,Do not like poetry,Intellectual Openness,O
357,BFAS,0.78,1,Enjoy the beauty of nature,Intellectual Openness,O
358,BFAS,0.89,-1,Feel comfortable with yourself,Neuroticism,N
359,BFAS,0.84,-1,Feel comfortable with yourself,Anxiety,N
360,BFAS,0.89,1,Feel threatened easily,Neuroticism,N
361,BFAS,0.84,1,Formulate ideas clearly,Intellectual Openness,O
362,BFAS,0.84,1,Formulate ideas clearly,Intellect,O
363,BFAS,0.89,1,Get angry easily,Neuroticism,N
364,BFAS,0.89,1,Get angry easily,Anger,N
365,BFAS,0.78,1,Get deeply immersed in music,Intellectual Openness,O
366,BFAS,0.89,1,Get easily agitated,Neuroticism,N
367,BFAS,0.89,1,Get easily agitated,Anger,N
368,BFAS,0.89,1,Get upset easily,Neuroticism,N
369,BFAS,0.89,1,Get upset easily,Anger,N
370,BFAS,0.84,1,Have a rich vocabulary,Intellectual Openness,O
371,BFAS,0.85,1,Have a strong personality,Assertiveness,E
372,BFAS,0.84,-1,Have difficulty understanding abstract ideas,Intellectual Openness,O
373,BFAS,0.85,-1,Hold back your opinions,Assertiveness,E
374,BFAS,0.89,-1,Keep your emotions under control,Neuroticism,N
375,BFAS,0.89,-1,Keep your emotions under control,Anger,N
376,BFAS,0.8,1,Keep things tidy,Orderliness,C
377,BFAS,0.85,1,Know how to captivate people,Assertiveness,E
378,BFAS,0.85,-1,Lack the talent for influencing people,Assertiveness,E
379,BFAS,0.84,-1,Learn things slowly,Intellectual Openness,O
380,BFAS,0.84,-1,Learn things slowly,Intellect,O
381,BFAS,0.84,1,Like to solve complex problems,Intellectual Openness,O
382,BFAS,0.84,1,Like to solve complex problems,Intellect,O
383,BFAS,0.78,1,Love to reflect on things,Intellectual Openness,O
384,BFAS,0.78,1,Need a creative outlet,Intellectual Openness,O
385,BFAS,0.89,-1,Rarely feel depressed,Neuroticism,N
386,BFAS,0.84,-1,Rarely feel depressed,Anxiety,N
387,BFAS,0.89,-1,Rarely get irritated,Neuroticism,N
388,BFAS,0.89,-1,Rarely get irritated,Anger,N
389,BFAS,0.89,-1,Rarely lose your composure,Neuroticism,N
390,BFAS,0.89,-1,Rarely lose your composure,Anger,N
391,BFAS,0.78,1,See beauty in things that others might not notice,Intellectual Openness,O
392,BFAS,0.85,1,See yourself as a good leader,Assertiveness,E
393,BFAS,0.78,-1,Seldom daydream,Intellectual Openness,O
394,BFAS,0.89,-1,Seldom feel blue,Neuroticism,N
395,BFAS,0.84,-1,Seldom feel blue,Anxiety,N
396,BFAS,0.78,-1,Seldom get lost in thought,Intellectual Openness,O
397,BFAS,0.78,-1,Seldom notice the emotional aspects of paintings and pictures,Intellectual Openness,O
398,BFAS,0.84,1,Think quickly,Intellectual Openness,O
399,BFAS,0.84,1,Think quickly,Intellect,O
400,BFAS,0.8,1,Want every detail taken care of,Orderliness,C
401,BFAS,0.89,1,Worry about things,Neuroticism,N
402,BFAS-20,0.91,-1,Are a very private person,Extraversion,E
403,BFAS-20,0.88,1,Are always prepared,Conscientiousness,C
404,BFAS-20,0.88,1,Are exacting in your work,Conscientiousness,C
405,BFAS-20,0.9,1,Are full of ideas,Intellect,O
406,BFAS-20,0.9,1,Are good at many things,Intellect,O
407,BFAS-20,0.88,-1,Are hard to get to know,Agreeableness,A
408,BFAS-20,0.88,-1,Are indifferent to the feelings of others,Agreeableness,A
409,BFAS-20,0.88,1,Are interested in people,Agreeableness,A
410,BFAS-20,0.88,-1,Are not really interested in others,Agreeableness,A
411,BFAS-20,0.88,1,Are on good terms with nearly everyone,Agreeableness,A
412,BFAS-20,0.91,-1,Are quiet around strangers,Extraversion,E
413,BFAS-20,0.91,1,Are the life of the party,Extraversion,E
414,BFAS-20,0.91,-1,Bottle up your feelings,Extraversion,E
415,BFAS-20,0.9,1,Catch on to things quickly,Intellect,O
416,BFAS-20,0.88,1,Continue until everything is perfect,Conscientiousness,C
417,BFAS-20,0.9,-1,Do not have a good imagination,Intellect,O
418,BFAS-20,0.91,-1,Don't like to draw attention to yourself,Extraversion,E
419,BFAS-20,0.91,1,Don't mind being the center of attention,Extraversion,E
420,BFAS-20,0.91,1,Feel at ease with people,Extraversion,E
421,BFAS-20,0.91,1,Feel comfortable around people,Extraversion,E
422,BFAS-20,0.88,-1,Feel little concern for others,Agreeableness,A
423,BFAS-20,0.88,-1,Find it difficult to get down to work,Conscientiousness,C
424,BFAS-20,0.88,1,Follow a schedule,Conscientiousness,C
425,BFAS-20,0.88,1,Get chores done right away,Conscientiousness,C
426,BFAS-20,0.88,1,Have a good word for everyone,Agreeableness,A
427,BFAS-20,0.9,1,Have a vivid imagination,Intellect,O
428,BFAS-20,0.9,-1,Have difficulty imagining things,Intellect,O
429,BFAS-20,0.91,-1,Have little to say,Extraversion,E
430,BFAS-20,0.88,1,Inquire about others' well-being,Agreeableness,A
431,BFAS-20,0.91,1,Know how to captivate people,Extraversion,E
432,BFAS-20,0.88,1,Know how to comfort others,Agreeableness,A
