Full#,Short#,facet,label_raw,text,label_ocean,instrument,key
290,110,C4,Achievement-Striving,Put little time and effort into your work,C,NEO-300,-1
231,111,N5,Immoderation,Are able to control your cravings,N,NEO-300,-1
172,112,E5,Excitement-Seeking,Act wild and crazy,E,NEO-300,1
263,113,O5,Intellect,Are not interested in theoretical discussions,O,NEO-300,-1
264,114,A5,Modesty,Boast about your virtues,A,NEO-300,-1
265,115,C5,Self-Discipline,Have difficulty starting tasks,C,NEO-300,-1
176,116,N6,Vulnerability,Remain calm under pressure,N,NEO-300,-1
177,117,E6,Cheerfulness,Look at the bright side of life,E,NEO-300,1
268,118,O6,Liberalism,Believe that we should be tough on crime,O,NEO-300,-1
239,119,A6,Sympathy,Try not to think about the needy,A,NEO-300,-1
270,120,C6,Cautiousness,Act without thinking,C,NEO-300,-1
9,,A2,Morality,Would never cheat on your taxes,A,NEO-300,1
10,,C2,Orderliness,Like order,C,NEO-300,1
14,,A3,Altruism,Make people feel welcome,A,NEO-300,1
15,,C3,Dutifulness,Try to follow the rules,C,NEO-300,1
16,,N4,Self-Consciousness,Are easily intimidated,N,NEO-300,1
19,,A4,Cooperation,Are easy to satisfy,A,NEO-300,1
20,,C4,Achievement-Striving,Go straight for the goal,C,NEO-300,1
21,,N5,Immoderation,Often eat too much,N,NEO-300,1
23,,O5,Intellect,Like to solve complex problems,O,NEO-300,1
24,,A5,Modesty,Dislike being the center of attention,A,NEO-300,1
25,,C5,Self-Discipline,Get chores done right away,C,NEO-300,1
30,,C6,Cautiousness,Avoid mistakes,C,NEO-300,1
32,,E1,Friendliness,Warm up quickly to others,E,NEO-300,1
38,,O2,Artistic Interests,Like music,O,NEO-300,1
39,,A2,Morality,Stick to the rules,A,NEO-300,1
44,,A3,Altruism,Anticipate the needs of others,A,NEO-300,1
46,,N4,Self-Consciousness,Are afraid that you will do the wrong thing,N,NEO-300,1
48,,O4,Adventurousness,Like to visit new places,O,NEO-300,1
49,,A4,Cooperation,Can't stand confrontations,A,NEO-300,1
51,,N5,Immoderation,Don't know why you do some of the things you do,N,NEO-300,1
54,,A5,Modesty,Dislike talking about yourself,A,NEO-300,1
60,,C6,Cautiousness,Choose your words with care,C,NEO-300,1
66,,N2,Anger,Get upset easily,N,NEO-300,1
67,,E2,Gregariousness,Enjoy being part of a group,E,NEO-300,1
69,,A2,Morality,Use flattery to get ahead,A,NEO-300,-1
70,,C2,Orderliness,"Want everything to be ""just right.""",C,NEO-300,1
72,,E3,Assertiveness,Can talk others into doing things,E,NEO-300,1
73,,O3,Emotionality,Are passionate about causes,O,NEO-300,1
75,,C3,Dutifulness,Pay your bills on time,C,NEO-300,1
78,,O4,Adventurousness,Interested in many things,O,NEO-300,1
79,,A4,Cooperation,Hate to seem pushy,A,NEO-300,1
80,,C4,Achievement-Striving,Turn plans into actions,C,NEO-300,1
81,,N5,Immoderation,Do things you later regret,N,NEO-300,1
82,,E5,Excitement-Seeking,Love action,E,NEO-300,1
83,,O5,Intellect,Have a rich vocabulary,O,NEO-300,1
84,,A5,Modesty,Consider yourself an average person,A,NEO-300,1
85,,C5,Self-Discipline,Start tasks right away,C,NEO-300,1
87,,E6,Cheerfulness,Express childlike joy,E,NEO-300,1
88,,O6,Liberalism,Believe that criminals should receive help rather than punishment,O,NEO-300,1
89,,A6,Sympathy,Value cooperation over competition,A,NEO-300,1
90,,C6,Cautiousness,Stick to your chosen path,C,NEO-300,1
92,,E1,Friendliness,Act comfortably with others,E,NEO-300,1
94,,A1,Trust,Believe that people are basically moral,A,NEO-300,1
95,,C1,Self-Efficacy,Are sure of your ground,C,NEO-300,1
96,,N2,Anger,Are often in a bad mood,N,NEO-300,1
97,,E2,Gregariousness,Involve others in what you are doing,E,NEO-300,1
98,,O2,Artistic Interests,Love flowers,O,NEO-300,1
100,,C2,Orderliness,Love order and regularity,C,NEO-300,1
101,,N3,Depression,Have a low opinion of yourself,N,NEO-300,1
102,,E3,Assertiveness,Seek to influence others,E,NEO-300,1
103,,O3,Emotionality,Enjoy examining yourself and your life,O,NEO-300,1
107,,E4,Activity Level,Can manage many things at the same time,E,NEO-300,1
108,,O4,Adventurousness,Like to begin new things,O,NEO-300,1
109,,A4,Cooperation,Have a sharp tongue,A,NEO-300,-1
110,,C4,Achievement-Striving,Plunge into tasks with all your heart,C,NEO-300,1
112,,E5,Excitement-Seeking,Enjoy being part of a loud crowd,E,NEO-300,1
113,,O5,Intellect,Can handle a lot of information,O,NEO-300,1
114,,A5,Modesty,Seldom toot your own horn,A,NEO-300,1
115,,C5,Self-Discipline,Get to work at once,C,NEO-300,1
116,,N6,Vulnerability,Can't make up your mind,N,NEO-300,1
117,,E6,Cheerfulness,Laugh your way through life,E,NEO-300,1
118,,O6,Liberalism,Believe in one true religion,O,NEO-300,-1
119,,A6,Sympathy,Suffer from others' sorrows,A,NEO-300,1
121,,N1,Anxiety,Get caught up in your problems,N,NEO-300,1
122,,E1,Friendliness,Cheer people up,E,NEO-300,1
123,,O1,Imagination,Indulge in your fantasies,O,NEO-300,1
124,,A1,Trust,Believe in human goodness,A,NEO-300,1
125,,C1,Self-Efficacy,Come up with good solutions,C,NEO-300,1
127,,E2,Gregariousness,Love surprise parties,E,NEO-300,1
128,,O2,Artistic Interests,Enjoy the beauty of nature,O,NEO-300,1
129,,A2,Morality,Know how to get around the rules,A,NEO-300,-1
130,,C2,Orderliness,Do things according to a plan,C,NEO-300,1
131,,N3,Depression,Have frequent mood swings,N,NEO-300,1
133,,O3,Emotionality,Try to understand yourself,O,NEO-300,1
134,,A3,Altruism,Have a good word for everyone,A,NEO-300,1
135,,C3,Dutifulness,Listen to your conscience,C,NEO-300,1
137,,E4,Activity Level,React quickly,E,NEO-300,1
139,,A4,Cooperation,Contradict others,A,NEO-300,-1
141,,N5,Immoderation,Love to eat,N,NEO-300,1
143,,O5,Intellect,Enjoy thinking about things,O,NEO-300,1
146,,N6,Vulnerability,Get overwhelmed by emotions,N,NEO-300,1
151,,N1,Anxiety,Are not easily bothered by things,N,NEO-300,-1
152,,E1,Friendliness,Are hard to get to know,E,NEO-300,-1
153,,O1,Imagination,Spend time reflecting on things,O,NEO-300,1
154,,A1,Trust,Think that all will be well,A,NEO-300,1
156,,N2,Anger,Rarely get irritated,N,NEO-300,-1
158,,O2,Artistic Interests,Do not like art,O,NEO-300,-1
161,,N3,Depression,Feel desperate,N,NEO-300,1
163,,O3,Emotionality,Seldom get emotional,O,NEO-300,-1
164,,A3,Altruism,Look down on others,A,NEO-300,-1
166,,N4,Self-Consciousness,Stumble over your words,N,NEO-300,1
170,,C4,Achievement-Striving,Set high standards for yourself and others,C,NEO-300,1
173,,O5,Intellect,Are not interested in abstract ideas,O,NEO-300,-1
175,,C5,Self-Discipline,Find it difficult to get down to work,C,NEO-300,-1
178,,O6,Liberalism,Believe that too much tax money goes to support artists,O,NEO-300,-1
179,,A6,Sympathy,Tend to dislike soft-hearted people,A,NEO-300,-1
180,,C6,Cautiousness,Like to act on a whim,C,NEO-300,-1
181,,N1,Anxiety,Are relaxed most of the time,N,NEO-300,-1
182,,E1,Friendliness,Often feel uncomfortable around others,E,NEO-300,-1
183,,O1,Imagination,Seldom daydream,O,NEO-300,-1
185,,C1,Self-Efficacy,Misjudge situations,C,NEO-300,-1
186,,N2,Anger,Seldom get mad,N,NEO-300,-1
187,,E2,Gregariousness,Want to be left alone,E,NEO-300,-1
189,,A2,Morality,Put people under pressure,A,NEO-300,-1
191,,N3,Depression,Feel that your life lacks direction,N,NEO-300,1
192,,E3,Assertiveness,Keep in the background,E,NEO-300,-1
193,,O3,Emotionality,Are not easily affected by your emotions,O,NEO-300,-1
196,,N4,Self-Consciousness,Are not embarrassed easily,N,NEO-300,-1
197,,E4,Activity Level,Like to take your time,E,NEO-300,-1
198,,O4,Adventurousness,Don't like the idea of change,O,NEO-300,-1
200,,C4,Achievement-Striving,Demand quality,C,NEO-300,1
202,,E5,Excitement-Seeking,Willing to try anything once,E,NEO-300,1
206,,N6,Vulnerability,Can handle complex problems,N,NEO-300,-1
207,,E6,Cheerfulness,Laugh aloud,E,NEO-300,1
208,,O6,Liberalism,Believe laws should be strictly enforced,O,NEO-300,-1
209,,A6,Sympathy,Believe in an eye for an eye,A,NEO-300,-1
211,,N1,Anxiety,Are not easily disturbed by events,N,NEO-300,-1
213,,O1,Imagination,Do not have a good imagination,O,NEO-300,-1
214,,A1,Trust,Suspect hidden motives in others,A,NEO-300,-1
215,,C1,Self-Efficacy,Don't understand things,C,NEO-300,-1
217,,E2,Gregariousness,Don't like crowded events,E,NEO-300,-1
219,,A2,Morality,Pretend to be concerned for others,A,NEO-300,-1
221,,N3,Depression,Seldom feel blue,N,NEO-300,-1
222,,E3,Assertiveness,Have little to say,E,NEO-300,-1
224,,A3,Altruism,Make people feel uncomfortable,A,NEO-300,-1
225,,C3,Dutifulness,Get others to do your duties,C,NEO-300,-1
226,,N4,Self-Consciousness,Are comfortable in unfamiliar situations,N,NEO-300,-1
227,,E4,Activity Level,Like a leisurely lifestyle,E,NEO-300,-1
228,,O4,Adventurousness,Are a creature of habit,O,NEO-300,-1
230,,C4,Achievement-Striving,Are not highly motivated to succeed,C,NEO-300,-1
232,,E5,Excitement-Seeking,Seek danger,E,NEO-300,1
234,,A5,Modesty,Know the answers to many questions,A,NEO-300,-1
235,,C5,Self-Discipline,Need a push to get started,C,NEO-300,-1
236,,N6,Vulnerability,Know how to cope,N,NEO-300,-1
237,,E6,Cheerfulness,Amuse your friends,E,NEO-300,1
238,,O6,Liberalism,Believe that we coddle criminals too much,O,NEO-300,-1
240,,C6,Cautiousness,Do crazy things,C,NEO-300,-1
241,,N1,Anxiety,Don't worry about things that have already happened,N,NEO-300,-1
242,,E1,Friendliness,Are not really interested in others,E,NEO-300,-1
243,,O1,Imagination,Seldom get lost in thought,O,NEO-300,-1
244,,A1,Trust,Are wary of others,A,NEO-300,-1
245,,C1,Self-Efficacy,Have little to contribute,C,NEO-300,-1
246,,N2,Anger,Keep your cool,N,NEO-300,-1
248,,O2,Artistic Interests,Do not like concerts,O,NEO-300,-1
250,,C2,Orderliness,Are not bothered by messy people,C,NEO-300,-1
252,,E3,Assertiveness,Don't like to draw attention to yourself,E,NEO-300,-1
253,,O3,Emotionality,Experience very few emotional highs and lows,O,NEO-300,-1
254,,A3,Altruism,Turn your back on others,A,NEO-300,-1
255,,C3,Dutifulness,Do the opposite of what is asked,C,NEO-300,-1
257,,E4,Activity Level,Let things proceed at their own pace,E,NEO-300,-1
258,,O4,Adventurousness,Dislike new foods,O,NEO-300,-1
261,,N5,Immoderation,Never spend more than you can afford,N,NEO-300,-1
262,,E5,Excitement-Seeking,Would never go hang gliding or bungee jumping,E,NEO-300,-1
266,,N6,Vulnerability,Readily overcome setbacks,N,NEO-300,-1
267,,E6,Cheerfulness,Are not easily amused,E,NEO-300,-1
269,,A6,Sympathy,Believe people should fend for themselves,A,NEO-300,-1
271,,N1,Anxiety,Adapt easily to new situations,N,NEO-300,-1
273,,O1,Imagination,Have difficulty imagining things,O,NEO-300,-1
274,,A1,Trust,Believe that people are essentially evil,A,NEO-300,-1
275,,C1,Self-Efficacy,Don't see the consequences of things,C,NEO-300,-1
276,,N2,Anger,Rarely complain,N,NEO-300,-1
277,,E2,Gregariousness,Seek quiet,E,NEO-300,-1
278,,O2,Artistic Interests,Do not enjoy watching dance performances,O,NEO-300,-1
280,,C2,Orderliness,Are not bothered by disorder,C,NEO-300,-1
281,,N3,Depression,Are very pleased with yourself,N,NEO-300,-1
282,,E3,Assertiveness,Hold back your opinions,E,NEO-300,-1
285,,C3,Dutifulness,Misrepresent the facts,C,NEO-300,-1
286,,N4,Self-Consciousness,Are able to stand up for yourself,N,NEO-300,-1
287,,E4,Activity Level,React slowly,E,NEO-300,-1
289,,A4,Cooperation,Hold a grudge,A,NEO-300,-1
291,,N5,Immoderation,Never splurge,N,NEO-300,-1
292,,E5,Excitement-Seeking,Dislike loud music,E,NEO-300,-1
293,,O5,Intellect,Avoid difficult reading material,O,NEO-300,-1
294,,A5,Modesty,Make yourself the center of attention,A,NEO-300,-1
295,,C5,Self-Discipline,Postpone decisions,C,NEO-300,-1
296,,N6,Vulnerability,Are calm even in tense situations,N,NEO-300,-1
297,,E6,Cheerfulness,Seldom joke around,E,NEO-300,-1
298,,O6,Liberalism,Like to stand during the national anthem,O,NEO-300,-1
299,,A6,Sympathy,Can't stand weak people,A,NEO-300,-1
300,,C6,Cautiousness,Often make last-minute plans,C,NEO-300,-1
